track_id,market,total_streams,rank,track_name,artist,genre_harmonized,year,success_score,danceability,energy,valence
51tyS6crUxH5s0xr7CRUJ6,DE,1044992.0,86.625,Kapseln,"Gzuz, Sa4",Hip-Hop,2020,61.88896992482506,0.719,0.652,0.627
6ocbgoVGwYJhOv1GgI9NsF,BR,6311281.0,166.13636363636363,7 rings,Ariana Grande,Pop,2020,61.88896805172102,0.778,0.317,0.327
0jWm0VyD8p3MrSInczpows,UK,64980.0,118.0,BLAME IT ON BABY,DaBaby,Hip-Hop,2020,61.888066964793666,0.875,0.687,0.8640000000000001
6YOMg5zGBzcu1Iv0N5GUnp,DE,2575862.0,72.92857142857143,Oh Junge,"KitschKrieg, RIN, Kool Savas",Hip-Hop,2020,61.879941319627775,0.878,0.515,0.269
37f1XhwJtItXOEFBpbymS1,DE,4332776.0,100.86666666666666,Grabstein,"Bonez MC, Gzuz",Hip-Hop,2020,61.87664669086796,0.862,0.604,0.503
1VapsxlgG0g2D80LeEXBqE,BR,1636529.0,141.6,Alô Porteiro - Ao Vivo,Marília Mendonça,Latin,2021,61.870492316449464,0.8390000000000001,0.764,0.667
0LPRq5I35z8FoqYo84xn48,DE,4210178.0,110.125,Vor der Tür,Gzuz,Hip-Hop,2020,61.86884249690577,0.8640000000000001,0.718,0.173
0VLwCyZ3QIvPXhPXhaiZfk,DE,3093850.0,80.69565217391305,Revenge,Elias,Hip-Hop,2020,61.863055712932486,0.843,0.627,0.43
7qrMjelD1OROkn0Rkv1heg,DE,3442560.0,89.96296296296296,McQueen,"Miami Yacine, Sfera Ebbasta",Hip-Hop,2020,61.86171165227921,0.817,0.616,0.373
3UoULw70kMsiVXxW0L3A33,UK,9436816.0,77.67777777777778,pov,Ariana Grande,Pop,2021,61.856646043583915,0.487,0.534,0.173
0pGC7cwCOakpvCFYiawNhM,DE,108156.0,106.0,FEEL THE BEAT,"Black Eyed Peas, Maluma",Pop,2020,61.8554271267697,0.8959999999999999,0.528,0.312
4ja2gzrNh9VNigzoXfmbwD,DE,96549.5,46.0,Mariposa,Peach Tree Rascals,R&B,2020,61.85505833761645,0.6759999999999999,0.525,0.421
38wMP2KeXQXv9Bl3o63HT2,DE,5138480.0,102.86,Games,"Ufo361, Sonus030",Hip-Hop,2020,61.854736736238834,0.833,0.6579999999999999,0.135
1qwMkkRiD5jqLeUUjfgblh,DE,554218.0,142.0,Lock It Up (feat. Anderson .Paak),Eminem,Hip-Hop,2020,61.84998813684748,0.848,0.745,0.516
3Pj6u2KTgepyyidp5xfbHp,BR,372342.0,46.666666666666664,Ashes,Stellar,Pop,2020,61.840258162939875,0.7120000000000001,0.568,0.46
6YJdPrH3i2POzu7hdHIRrb,UK,1677372.0,137.8125,Santa Baby,"Ariana Grande, Liz Gillies",Pop,2021,61.838212238138496,0.748,0.778,0.777
0ew27xRdxSexrWbODuLfeE,UK,82195.0,119.0,I'm Coming Out,Diana Ross,Other,2020,61.837704827917534,0.7390000000000001,0.917,0.7490000000000001
1qf82BwoRe9zdLvyvx7oGP,DE,77464.0,156.0,Antisocial (with Travis Scott) - MK Remix,Ed Sheeran,Pop,2020,61.8345764804704,0.7959999999999999,0.868,0.586
1RqNAiL2toZ59HTjQbFLfM,DE,2204899.0,93.58333333333333,Leila,Reynmen,Hip-Hop,2020,61.83309069897013,0.665,0.735,0.259
75PZuTrIz2dqsyscNHeXGN,UK,629778.0,85.42857142857143,Demons (feat. Dirtbike LB),"Skepta, Chip, Young Adz",Other,2020,61.81914014958134,0.774,0.625,0.572
4esIFtCJ2RUFbJpDGluVG4,UK,646893.0,31.11111111111111,HEART ATTACK (feat. lau.ra),"BRONSON, ODESZA, Golden Features",Electronic,2020,61.81347803367992,0.556,0.649,0.119
7t9oXcANdCYmkmwEMA0RMR,UK,610654.0,91.28571428571429,Psalm 35,Headie One,Hip-Hop,2020,61.81285515166105,0.909,0.638,0.567
0qUcpOOna3kkrwfqky85e1,DE,6082618.5,17.41269841269841,Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,Hip-Hop,2020,61.81205902400423,0.768,0.339,0.568
6aoWJSqAgHXacunJ2tdijv,DE,4732549.0,59.82142857142857,Christmas Time,Bryan Adams,Rock,2020,61.80993172566246,0.503,0.583,0.3229999999999999
2Imn5iTu2xD3gXCqpBqubu,UK,74397.0,97.0,Tick Tock,Joji,R&B,2020,61.80565227133414,0.7809999999999999,0.613,0.613
1ZjeSBSlwwddWUTa982kBA,BR,320321.0,70.0,Movimento,"BK, JXNV$",Hip-Hop,2020,61.803125372045194,0.7140000000000001,0.5529999999999999,0.22
4pmbb2QmCMrfNT9kL0nVtG,DE,11944987.0,69.13888888888889,mailbox,"Dardan, Hava",Hip-Hop,2021,61.79659823043419,0.578,0.655,0.44
6Q9NH5cNBY58nJkp5Jbs9j,BR,41207741.0,91.0,Deve ser horrível dormir sem mim,"Manu Gavassi, Gloria Groove",Latin,2021,61.79513042189678,0.698,0.722,0.753
27u7t9d7ZQoyjsCROHuZJ3,DE,16404708.0,110.34444444444445,Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel",Pop,2021,61.79424349132578,0.779,0.705,0.946
